t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-010   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-009   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.20028665184690375E-009   0.000000000E+000   0.352230186E-037
   0.21569331737358866E-009   0.000000000E+000   0.163524636E-036
   0.23109998290027356E-009   0.254311251E-035   0.735702994E-036
   0.24650664842695846E-009   0.144282203E-034   0.331333825E-035
   0.26191331395364337E-009   0.641392192E-034   0.145925785E-034
   0.27731997948032827E-009   0.275473336E-033   0.634027903E-034
   0.29272664500701318E-009   0.115284818E-032   0.271754320E-033
   0.30813331053369808E-009   0.476847622E-032   0.114908852E-032
   0.32353997606038298E-009   0.194536571E-031   0.479339780E-032
   0.33894664158706789E-009   0.782872890E-031   0.197252801E-031
   0.35435330711375279E-009   0.310892136E-030   0.800779901E-031
   0.36975997264043770E-009   0.121823476E-029   0.320711958E-030
   0.38516663816712260E-009   0.470994820E-029   0.126709357E-029
   0.40057330369380750E-009   0.179662060E-028   0.493866968E-029
   0.41597996922049241E-009   0.676188045E-028   0.189899551E-028
   0.43138663474717731E-009   0.251098918E-027   0.720327832E-028
   0.44679330027386222E-009   0.919986305E-027   0.269552842E-027
   0.46219996580054712E-009   0.332575938E-026   0.995107202E-027
   0.47760663132723202E-009   0.118623064E-025   0.362399657E-026
   0.49301329685391693E-009   0.417454714E-025   0.130201492E-025
   0.50841996238060183E-009   0.144952353E-024   0.461480024E-025
   0.52382662790728673E-009   0.496606330E-024   0.161355791E-024
   0.53923329343397164E-009   0.167867214E-023   0.556574304E-024
   0.55463995896065654E-009   0.559880775E-023   0.189397418E-023
   0.57004662448734145E-009   0.184246353E-022   0.635795463E-023
   0.58545329001402635E-009   0.598234119E-022   0.210557310E-022
   0.60085995554071125E-009   0.191656307E-021   0.687909555E-022
   0.61626662106739616E-009   0.605831847E-021   0.221711061E-021
   0.63167328659408106E-009   0.188952084E-020   0.704937919E-021
   0.64707995212076597E-009   0.581477315E-020   0.221118848E-020
   0.66248661764745087E-009   0.176560215E-019   0.684218034E-020
   0.67789328317413577E-009   0.528966104E-019   0.208868113E-019
   0.69329994870082068E-009   0.156367431E-018   0.629009657E-019
   0.70870661422750558E-009   0.456086038E-018   0.186869639E-018
   0.72411327975419049E-009   0.131257413E-017   0.547682332E-018
   0.73951994528087539E-009   0.372722952E-017   0.158352892E-017
   0.75492661080756029E-009   0.104431685E-016   0.451668780E-017
   0.77033327633424520E-009   0.288708500E-016   0.127093241E-016
   0.78573994186093010E-009   0.787540993E-016   0.352802623E-016
   0.80114660738761501E-009   0.211969069E-015   0.966136698E-016
   0.81655327291429991E-009   0.562930473E-015   0.261007671E-015
   0.83195993844098481E-009   0.147511529E-014   0.695624326E-015
   0.84736660396766972E-009   0.381403605E-014   0.182891777E-014
   0.86277326949435462E-009   0.973037230E-014   0.474374407E-014
   0.87817993502103953E-009   0.244942599E-013   0.121382159E-013
   0.89358660054772443E-009   0.608397881E-013   0.306398685E-013
   0.90899326607440933E-009   0.149107045E-012   0.763003213E-013
   0.92439993160109424E-009   0.360579053E-012   0.187444231E-012
   0.93980659712777914E-009   0.860386849E-012   0.454272796E-012
   0.95521326265446405E-009   0.202570317E-011   0.108609345E-011
   0.97061992818114895E-009   0.470597953E-011   0.256168893E-011
   0.98602659370783385E-009   0.107874066E-010   0.596051377E-011
   0.10014332592345188E-008   0.243991181E-010   0.136819054E-010
   0.10168399247612037E-008   0.544532544E-010   0.309825117E-010
   0.10322465902878886E-008   0.119912885E-009   0.692128160E-010
   0.10476532558145735E-008   0.260554522E-009   0.152532750E-009
   0.10630599213412584E-008   0.558630586E-009   0.331623506E-009
   0.10784665868679433E-008   0.118179899E-008   0.711259052E-009
   0.10938732523946282E-008   0.246690735E-008   0.150493151E-008
   0.11092799179213131E-008   0.508106979E-008   0.314131232E-008
   0.11246865834479980E-008   0.103264330E-007   0.646853904E-008
   0.11400932489746829E-008   0.207079616E-007   0.131403661E-007
   0.11554999145013678E-008   0.409747223E-007   0.263338311E-007
   0.11709065800280527E-008   0.799993956E-007   0.520621022E-007
   0.11863132455547376E-008   0.154115838E-006   0.101539584E-006
   0.12017199110814225E-008   0.292953331E-006   0.195368315E-006
   0.12171265766081074E-008   0.549464289E-006   0.370829554E-006
   0.12325332421347923E-008   0.101687829E-005   0.694381924E-006
   0.12479399076614772E-008   0.185689373E-005   0.128271847E-005
   0.12633465731881621E-008   0.334574634E-005   0.233756714E-005
   0.12787532387148470E-008   0.594820085E-005   0.420244896E-005
   0.12941599042415319E-008   0.104343362E-004   0.745324996E-005
   0.13095665697682168E-008   0.180604784E-004   0.130404023E-004
   0.13249732352949017E-008   0.308444869E-004   0.225082495E-004
   0.13403799008215866E-008   0.519767273E-004   0.383263214E-004
   0.13557865663482715E-008   0.864214890E-004   0.643805906E-004
   0.13711932318749565E-008   0.141779732E-003   0.106688618E-003
   0.13865998974016414E-008   0.229501515E-003   0.174415778E-003
   0.14020065629283263E-008   0.366551132E-003   0.281291170E-003
   0.14174132284550112E-008   0.577642233E-003   0.447539700E-003
   0.14328198939816961E-008   0.898168189E-003   0.702443649E-003
   0.14482265595083810E-008   0.137793680E-002   0.108766300E-002
   0.14636332250350659E-008   0.208579586E-002   0.166143046E-002
   0.14790398905617508E-008   0.311518274E-002   0.250365445E-002
   0.14944465560884357E-008   0.459053088E-002   0.372194289E-002
   0.15098532216151206E-008   0.667432370E-002   0.545845693E-002
   0.15252598871418055E-008   0.957446825E-002   0.789722241E-002
   0.15406665526684904E-008   0.135513665E-001   0.112715121E-001
   0.15560732181951753E-008   0.189238936E-001   0.158706512E-001
   0.15714798837218602E-008   0.260732416E-001   0.220450703E-001
   0.15868865492485451E-008   0.354433097E-001   0.302086845E-001
   0.16022932147752300E-008   0.475363545E-001   0.408372730E-001
   0.16176998803019149E-008   0.629024878E-001   0.544610210E-001
   0.16331065458285998E-008   0.821216851E-001   0.716503859E-001
   0.16485132113552847E-008   0.105777599E+000   0.929941908E-001
   0.16639198768819696E-008   0.134422809E+000   0.119068585E+000
   0.16793265424086545E-008   0.168536156E+000   0.150398120E+000
   0.16947332079353394E-008   0.208473802E+000   0.187409684E+000
   0.17101398734620243E-008   0.254417002E+000   0.230380505E+000
   0.17255465389887092E-008   0.306319743E+000   0.279385567E+000
   0.17409532045153941E-008   0.363861203E+000   0.334244937E+000
   0.17563598700420791E-008   0.426408589E+000   0.394485801E+000
   0.17717665355687640E-008   0.492995858E+000   0.459305316E+000
   0.17871732010954489E-008   0.562322795E+000   0.527564824E+000
   0.18025798666221338E-008   0.632777750E+000   0.597797632E+000
   0.18179865321488187E-008   0.702486217E+000   0.668246448E+000
   0.18333931976755036E-008   0.769384682E+000   0.736925185E+000
   0.18487998632021885E-008   0.831316411E+000   0.801704109E+000
   0.18642065287288734E-008   0.886144459E+000   0.860417068E+000
   0.18796131942555583E-008   0.931872666E+000   0.910978079E+000
   0.18950198597822432E-008   0.966765583E+000   0.951505482E+000
   0.19104265253089281E-008   0.989456952E+000   0.980434299E+000
   0.19258331908356130E-008   0.999038935E+000   0.996620715E+000
   0.19412398563622979E-008   0.995122612E+000   0.999413848E+000
   0.19566465218889828E-008   0.977864742E+000   0.988701224E+000
   0.19720531874156677E-008   0.947956502E+000   0.964914501E+000
