t              pw-in-box-pec.fdtd_before_Ex_3_3_1.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-010   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-009   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.126359132E-037
   0.13865998974016414E-009   0.000000000E+000   0.592014409E-037
   0.15406665526684904E-009   0.000000000E+000   0.268766108E-036
   0.16947332079353394E-009   0.000000000E+000   0.121805176E-035
   0.18487998632021885E-009   0.000000000E+000   0.541335704E-035
   0.20028665184690375E-009   0.000000000E+000   0.237356058E-034
   0.21569331737358866E-009   0.000000000E+000   0.102665530E-033
   0.23109998290027356E-009   0.254311251E-035   0.438064592E-033
   0.24650664842695846E-009   0.614624484E-035   0.184409552E-032
   0.26191331395364337E-009   0.169021853E-034   0.765808341E-032
   0.27731997948032827E-009   0.587069544E-034   0.313723279E-031
   0.29272664500701318E-009   0.234477190E-033   0.126795439E-030
   0.30813331053369808E-009   0.938540404E-033   0.505535404E-030
   0.32353997606038298E-009   0.374340621E-032   0.198834832E-029
   0.33894664158706789E-009   0.147437099E-031   0.771546344E-029
   0.35435330711375279E-009   0.572660352E-031   0.295339341E-028
   0.36975997264043770E-009   0.219411404E-030   0.111525776E-027
   0.38516663816712260E-009   0.829198417E-030   0.415486067E-027
   0.40057330369380750E-009   0.309010193E-029   0.152696171E-026
   0.41597996922049241E-009   0.113579951E-028   0.553598856E-026
   0.43138663474717731E-009   0.411767162E-028   0.198010404E-025
   0.44679330027386222E-009   0.147199066E-027   0.698670130E-025
   0.46219996580054712E-009   0.518993053E-027   0.243193639E-024
   0.47760663132723202E-009   0.180481726E-026   0.835133218E-024
   0.49301329685391693E-009   0.618855911E-026   0.282913249E-023
   0.50841996238060183E-009   0.209288034E-025   0.945466913E-023
   0.52382662790728673E-009   0.698058146E-025   0.311719144E-022
   0.53923329343397164E-009   0.229579773E-024   0.101384492E-021
   0.55463995896065654E-009   0.744634405E-024   0.325295137E-021
   0.57004662448734145E-009   0.238198542E-023   0.102968547E-020
   0.58545329001402635E-009   0.751276653E-023   0.321533990E-020
   0.60085995554071125E-009   0.233681647E-022   0.990480525E-020
   0.61626662106739616E-009   0.716841754E-022   0.301012640E-019
   0.63167328659408106E-009   0.216807805E-021   0.902442158E-019
   0.64707995212076597E-009   0.646646020E-021   0.266901741E-018
   0.66248661764745087E-009   0.190203275E-020   0.778756994E-018
   0.67789328317413577E-009   0.551572595E-020   0.224156165E-017
   0.69329994870082068E-009   0.157728916E-019   0.636493478E-017
   0.70870661422750558E-009   0.444803902E-019   0.178302057E-016
   0.72411327975419049E-009   0.123660270E-018   0.492737727E-016
   0.73951994528087539E-009   0.338993659E-018   0.134330187E-015
   0.75492661080756029E-009   0.916383770E-018   0.361283269E-015
   0.77033327633424520E-009   0.244210745E-017   0.958564317E-015
   0.78573994186093010E-009   0.641665673E-017   0.250894081E-014
   0.80114660738761501E-009   0.166251094E-016   0.647853023E-014
   0.81655327291429991E-009   0.424611131E-016   0.165029174E-013
   0.83195993844098481E-009   0.106921095E-015   0.414709804E-013
   0.84736660396766972E-009   0.265464837E-015   0.102811633E-012
   0.86277326949435462E-009   0.649682053E-015   0.251443424E-012
   0.87817993502103953E-009   0.156750837E-014   0.606645918E-012
   0.89358660054772443E-009   0.372862209E-014   0.144392679E-011
   0.90899326607440933E-009   0.874173577E-014   0.339042531E-011
   0.92439993160109424E-009   0.202036840E-013   0.785350257E-011
   0.93980659712777914E-009   0.460324528E-013   0.179467240E-010
   0.95521326265446405E-009   0.103366263E-012   0.404582028E-010
   0.97061992818114895E-009   0.228785740E-012   0.899764013E-010
   0.98602659370783385E-009   0.499181642E-012   0.197406910E-009
   0.10014332592345188E-008   0.107338791E-011   0.427263835E-009
   0.10168399247612037E-008   0.227475113E-011   0.912285858E-009
   0.10322465902878886E-008   0.475138158E-011   0.192166039E-008
   0.10476532558145735E-008   0.977879062E-011   0.399323685E-008
   0.10630599213412584E-008   0.198330519E-010   0.818597368E-008
   0.10784665868679433E-008   0.396434274E-010   0.165549565E-007
   0.10938732523946282E-008   0.780662757E-010   0.330283321E-007
   0.11092799179213131E-008   0.151471224E-009   0.650050183E-007
   0.11246865834479980E-008   0.289616442E-009   0.126216634E-006
   0.11400932489746829E-008   0.545522905E-009   0.241761740E-006
   0.11554999145013678E-008   0.101215947E-008   0.456836233E-006
   0.11709065800280527E-008   0.185048199E-008   0.851612981E-006
   0.11863132455547376E-008   0.333209949E-008   0.156612214E-005
   0.12017199110814225E-008   0.590944893E-008   0.284126213E-005
   0.12171265766081074E-008   0.103231645E-007   0.508516541E-005
   0.12325332421347923E-008   0.177568715E-007   0.897843893E-005
   0.12479399076614772E-008   0.300752099E-007   0.156386468E-004
   0.12633465731881621E-008   0.501652160E-007   0.268723124E-004
   0.12787532387148470E-008   0.823746475E-007   0.455525951E-004
   0.12941599042415319E-008   0.133163468E-006   0.761770425E-004
   0.13095665697682168E-008   0.211907107E-006   0.125673032E-003
   0.13249732352949017E-008   0.331924440E-006   0.204532626E-003
   0.13403799008215866E-008   0.511669498E-006   0.328387192E-003
   0.13557865663482715E-008   0.776178922E-006   0.520135276E-003
   0.13711932318749565E-008   0.115806529E-005   0.812735409E-003
   0.13865998974016414E-008   0.169944315E-005   0.125281047E-002
   0.14020065629283263E-008   0.245320393E-005   0.190514326E-002
   0.14174132284550112E-008   0.348133244E-005   0.285807019E-002
   0.14328198939816961E-008   0.485624241E-005   0.422981801E-002
   0.14482265595083810E-008   0.665917787E-005   0.617555622E-002
   0.14636332250350659E-008   0.897113023E-005   0.889474992E-002
   0.14790398905617508E-008   0.118672870E-004   0.126384869E-001
   0.14944465560884357E-008   0.154214504E-004   0.177158378E-001
   0.15098532216151206E-008   0.196681594E-004   0.244980603E-001
   0.15252598871418055E-008   0.245998745E-004   0.334199332E-001
   0.15406665526684904E-008   0.301578439E-004   0.449763685E-001
   0.15560732181951753E-008   0.362016945E-004   0.597128347E-001
   0.15714798837218602E-008   0.425295511E-004   0.782083645E-001
   0.15868865492485451E-008   0.488572514E-004   0.101051845E+000
   0.16022932147752300E-008   0.547805248E-004   0.128806874E+000
   0.16176998803019149E-008   0.598477563E-004   0.161971241E+000
   0.16331065458285998E-008   0.635458346E-004   0.200928360E+000
   0.16485132113552847E-008   0.654360992E-004   0.245894283E+000
   0.16639198768819696E-008   0.650228903E-004   0.296865523E+000
   0.16793265424086545E-008   0.618406120E-004   0.353569955E+000
   0.16947332079353394E-008   0.555096340E-004   0.415427178E+000
   0.17101398734620243E-008   0.459669536E-004   0.481524825E+000
   0.17255465389887092E-008   0.335091245E-004   0.550613642E+000
   0.17409532045153941E-008   0.185752724E-004   0.621124327E+000
   0.17563598700420791E-008   0.178353548E-005   0.691217542E+000
   0.17717665355687640E-008  -0.160799518E-004   0.758848250E+000
   0.17871732010954489E-008  -0.340001279E-004   0.821862757E+000
   0.18025798666221338E-008  -0.508179073E-004   0.878107905E+000
   0.18179865321488187E-008  -0.653707539E-004   0.925551176E+000
   0.18333931976755036E-008  -0.768458558E-004   0.962403417E+000
   0.18487998632021885E-008  -0.848318959E-004   0.987229586E+000
   0.18642065287288734E-008  -0.891278250E-004   0.999040425E+000
   0.18796131942555583E-008  -0.894193727E-004   0.997360528E+000
   0.18950198597822432E-008  -0.857757623E-004   0.982257903E+000
   0.19104265253089281E-008  -0.790513513E-004   0.954339325E+000
   0.19258331908356130E-008  -0.705921775E-004   0.914711893E+000
   0.19412398563622979E-008  -0.622794614E-004   0.864908159E+000
   0.19566465218889828E-008  -0.556090126E-004   0.806788504E+000
